Country,Name,GDPPC,Literacy,Agriculture,Population,NetMigration,InfantMortality
1,Albania,3965,0.987,0.227,3038594,-3.3,14
2,Algeria,4206,0.8,0.107,39670000,-0.9,27.7
3,Andorra,42500,1,0.006,86165,0,3.6
4,Angola,4102,0.711,0.05,25020000,-0.1,76.5
5,Anguilla,8800,0.95,0.029,15000,11.9,3.4
6,Argentina,13432,0.981,0.082,43420000,-0.1,11.1
7,Armenia,3499,0.998,0.217,3018000,-5.7,13.1
8,Australia,56328,0.99,0.025,23780000,5.6,3.2
9,Austria,43439,0.98,0.014,8611000,5.2,3.4
10,Azerbaijan,5496,0.998,0.047,9651000,0,24.7
11,Bahamas,22897,0.955,0.016,388019,5.2,11.7
12,Bahrain,23396,0.957,0.003,1377000,12.6,9.2
13,Bangladesh,1212,0.615,0.161,161000000,-2.9,32.9
14,Barbados,15360,0.997,0.017,284215,1.6,8.8
15,Belarus,5740,0.992,0.086,9513000,0.7,3.6
16,Belgium,40231,0.99,0.007,11290000,4.9,3.4
17,Belize,4907,0.827,0.139,359287,4.5,19.3
18,Benin,779,0.384,0.23,10880000,-0.2,65.9
19,Bermuda,85748,0.98,0.006,65235,1.8,2.5
20,Bhutan,2532,0.639,0.171,774830,0,33.9
21,Bolivia,3276,0.957,0.136,10720000,-0.6,36.4
22,Botswana,6361,0.882,0.024,2262000,4.5,8.6
23,Brazil,8539,0.922,0.056,207800000,-0.1,18
24,Bulgaria,6820,0.984,0.053,7178000,-0.3,8.5
25,Burkina Faso,613,0.377,0.344,18110000,0,73.8
26,Burundi,276,0.855,0.412,11180000,0,60.4
27,Cambodia,1159,0.783,0.305,15580000,-0.3,48.7
28,Cameroon,1251,0.75,0.22,23340000,-0.1,52.2
29,Canada,43249,0.99,0.017,35850000,5.7,4.6
30,Cayman Islands,64105,0.98,0.003,59967,14.1,6
31,Central African Republic,307,0.368,0.564,4900000,0,88.4
32,Chad,776,0.402,0.244,14040000,-3.3,87
33,Chile,13384,0.96,0.033,17950000,0.3,6.7
34,China,7925,0.982,0.095,1371000000,-0.4,12.2
35,Colombia,6056,0.064,0.095,48230000,-0.6,14.1
36,Comoros,810,0.781,0.336,788474,-2.5,61.8
37,Costa Rica,10630,0.978,0.062,4808000,0.8,8.3
38,Croatia,11536,0.993,0.043,4224000,-1.9,9.5
39,Cuba,6790,0.998,0.05,11390000,-5.3,4.5
40,Cyprus,22957,0.991,0.023,1165000,9.1,8.1
41,Czech Republic,17231,0.99,0.025,10550000,2.2,2.6
42,Democratic Republic of the Congo,300,0.612,0.442,82240000,-0.2,69.8
43,Denmark,52002,0.99,0.016,5676000,2.1,4
44,Djibouti,1814,0.679,0.032,887861,5.9,47.2
45,Dominica,7399,0.918,0.167,72680,-5.4,10.9
46,Dominican Republic,6734,0.918,0.115,10530000,-1.9,18.1
47,Ecuador,6248,0.945,0.091,16140000,0,16.9
48,Egypt,3615,0.752,0.145,91510000,-0.5,19.7
49,El Salvador,4219,0.904,0.105,6127000,-8.1,17.3
50,Equatorial Guinea,11121,0.842,0.046,845060,0,67.2
51,Eritrea,544,0.678,0.172,4790000,-14.7,45.6
52,Estonia,17295,0.998,0.034,1312000,-3.2,3.8
53,Ethiopia,619,0.491,0.419,99390000,-0.2,51.1
54,Fiji,4916,0.937,0.115,892145,-6.6,9.7
55,Finland,41921,1,0.028,5482000,3,2.5
56,France,36248,0.99,0.017,66810000,1.1,3.3
57,Gabon,8311,0.832,0.039,1725000,-2,45.1
58,Gambia,441,0.555,0.197,1991000,-1.5,67.6
59,Georgia,3796,0.998,0.091,3679000,-2.2,15.6
60,Germany,41219,0.99,0.007,81410000,1.5,3.4
61,Ghana,1381,0.766,0.22,27410000,-1.9,36.3
62,Greece,18036,0.977,0.038,10820000,2.3,4.6
63,Grenada,9157,0.96,0.065,106825,-3,9.9
64,Guatemala,3903,0.815,0.112,16340000,-1.9,23.9
65,Guinea,531,0.304,0.18,12610000,0,54.4
66,Guyana,4127,0.885,0.182,767085,-6.4,31.5
67,Haiti,829,0.607,0.176,10710000,1.5,48.2
68,Honduras,2496,0.885,0.13,8075000,-1.1,17.7
69,Hungary,12259,0.991,0.045,9845000,1.3,5
70,Iceland,50173,0.99,0.06,330823,4.2,2.1
71,India,1582,0.712,0.17,1311000000,0,40.5
72,Indonesia,3346,0.939,0.137,257600000,-1.2,23.5
73,Iran,5443,0.868,0.091,79110000,-0.1,37.1
74,Iraq,4629,0.797,0.042,36420000,1.5,37.5
75,Israel,35330,0.978,0.013,8380000,2.2,3.5
